[04.39.37] [INFO] EXEC: menu | Method: Prefix | RAM: 257.80MB
[04.39.54] [INFO] EXEC: allmenu | Method: Prefix | RAM: 280.96MB
[04.45.19] [INFO] EXEC: allmenu | Method: Prefix | RAM: 265.97MB
[04.50.37] [INFO] EXEC: allmenu | Method: Prefix | RAM: 259.95MB
[04.57.52] [INFO] EXEC: allmenu | Method: Prefix | RAM: 253.00MB
[05.08.50] [INFO] EXEC: waifu | Method: Prefix | RAM: 195.04MB
[05.22.03] [INFO] EXEC: allmenu | Method: Prefix | RAM: 261.87MB
[05.22.03] [INFO] EXEC: allmenu | Method: Prefix | RAM: 261.87MB
[05.25.38] [INFO] EXEC: menu | Method: Prefix | RAM: 265.63MB
[05.25.45] [INFO] EXEC: allmenu | Method: Prefix | RAM: 285.95MB
[05.30.01] [INFO] EXEC: allmenu | Method: Prefix | RAM: 265.68MB
[05.32.54] [INFO] EXEC: allmenu | Method: Prefix | RAM: 254.84MB
[05.45.59] [INFO] EXEC: allmenu | Method: Prefix | RAM: 271.71MB
[05.50.24] [INFO] EXEC: allmenu | Method: Prefix | RAM: 266.53MB
[05.51.24] [INFO] EXEC: allmenu | Method: Prefix | RAM: 268.23MB
[05.54.38] [INFO] EXEC: menu | Method: Prefix | RAM: 264.43MB
[05.54.44] [INFO] EXEC: aiaomenu | Method: Prefix | RAM: 287.95MB
[05.58.36] [INFO] EXEC: allmenu | Method: Prefix | RAM: 263.53MB
[05.59.16] [INFO] EXEC: grupmenu | Method: Prefix | RAM: 300.03MB
[06.04.22] [INFO] EXEC: allmenu | Method: Prefix | RAM: 288.20MB
[06.07.38] [INFO] EXEC: allmenu | Method: Prefix | RAM: 272.88MB
[06.08.43] [INFO] EXEC: allmenu | Method: Prefix | RAM: 270.35MB
[06.16.14] [INFO] EXEC: allmenu | Method: Prefix | RAM: 284.52MB
[06.40.54] [INFO] EXEC: aiaomenu | Method: Prefix | RAM: 263.37MB
[06.41.41] [INFO] EXEC: aimenu | Method: Prefix | RAM: 319.75MB
[06.42.04] [INFO] EXEC: ownermenu | Method: Prefix | RAM: 357.75MB
[06.56.53] [INFO] EXEC: toolsmenu | Method: Prefix | RAM: 265.79MB
[06.57.07] [INFO] EXEC: aiaomenu | Method: Prefix | RAM: 290.41MB
[07.07.30] [INFO] EXEC: toolsmenu | Method: Prefix | RAM: 267.09MB
[07.10.57] [INFO] EXEC: toolsmenu | Method: Prefix | RAM: 266.27MB
[07.11.09] [INFO] EXEC: aiaomenu | Method: Prefix | RAM: 299.74MB
[07.22.08] [INFO] EXEC: aimenu | Method: Prefix | RAM: 265.50MB
[07.22.09] [ERROR] Plugin Failure: aimenu | categoryTarget is not defined
[07.22.09] [ERROR-TRACE] at Object.exec (file:///workspaces/castorice-assistant-by-radja/plugins/main-menu/aimenu.js?u=1770016919751:57:38)
[07.22.28] [INFO] EXEC: toolsmenu | Method: Prefix | RAM: 271.25MB
[07.22.28] [ERROR] Plugin Failure: toolsmenu | categoryTarget is not defined
[07.22.28] [ERROR-TRACE] at Object.exec (file:///workspaces/castorice-assistant-by-radja/plugins/main-menu/toolsmenu.js?u=1770016919777:57:38)
[07.28.45] [INFO] EXEC: menu | Method: Prefix | RAM: 279.97MB
[07.28.55] [INFO] EXEC: allmenu | Method: Prefix | RAM: 306.61MB
[07.30.35] [INFO] EXEC: menu | Method: Prefix | RAM: 273.00MB
[07.32.39] [INFO] EXEC: delkat | Method: Prefix | RAM: 272.86MB
[07.33.12] [INFO] EXEC: addkat | Method: Prefix | RAM: 281.00MB
[07.35.05] [INFO] EXEC: addkat | Method: Prefix | RAM: 286.49MB
[07.37.05] [INFO] EXEC: menu | Method: Prefix | RAM: 272.35MB
[07.38.11] [INFO] EXEC: menu | Method: Prefix | RAM: 270.16MB
[07.44.25] [INFO] EXEC: menu | Method: Prefix | RAM: 268.41MB
[07.46.09] [INFO] EXEC: menu | Method: Prefix | RAM: 267.19MB
[07.49.12] [INFO] EXEC: menu | Method: Prefix | RAM: 268.37MB
[07.49.29] [INFO] EXEC: nsfwmenu | Method: Prefix | RAM: 296.73MB
[07.49.55] [INFO] EXEC: ownermenu | Method: Prefix | RAM: 323.27MB
[07.55.48] [INFO] EXEC: ownermenu | Method: Prefix | RAM: 277.02MB
[07.56.05] [INFO] EXEC: ownermenu | Method: Prefix | RAM: 309.52MB
[07.56.20] [INFO] EXEC: menu | Method: Prefix | RAM: 351.89MB
[07.56.30] [INFO] EXEC: downloadmenu | Method: Prefix | RAM: 363.03MB
[08.03.35] [INFO] EXEC: menu | Method: Prefix | RAM: 289.81MB
[08.03.53] [INFO] EXEC: downloadmenu | Method: Prefix | RAM: 318.47MB
[08.14.54] [INFO] EXEC: aimenu | Method: Prefix | RAM: 286.19MB
[08.19.52] [INFO] EXEC: allmenu | Method: Prefix | RAM: 246.21MB
[08.22.12] [INFO] EXEC: allmenu | Method: Prefix | RAM: 259.75MB
[08.25.36] [INFO] EXEC: allmenu | Method: Prefix | RAM: 273.32MB
[08.28.33] [INFO] EXEC: aimenu | Method: Prefix | RAM: 284.46MB
[08.28.46] [INFO] EXEC: aiaomenu | Method: Prefix | RAM: 317.69MB
[08.28.51] [INFO] EXEC: menu | Method: Prefix | RAM: 376.88MB
