[14.25.06] [INFO] EXEC: setgreeting | Method: Prefix | RAM: 206.37MB
[14.34.15] [INFO] EXEC: cekidch | Method: Prefix | RAM: 215.88MB
[18.46.57] [INFO] EXEC: cekidch | Method: Prefix | RAM: 256.74MB
[18.53.23] [INFO] EXEC: cekidch | Method: Prefix | RAM: 264.48MB
[19.26.36] [INFO] EXEC: cekidch | Method: Prefix | RAM: 267.88MB
[19.27.09] [INFO] EXEC: cekidch | Method: Prefix | RAM: 276.38MB
[19.56.19] [INFO] EXEC: menu | Method: Prefix | RAM: 254.85MB
[19.59.48] [INFO] EXEC: menu | Method: Prefix | RAM: 279.06MB
[20.02.37] [INFO] EXEC: menu | Method: Prefix | RAM: 260.44MB
[20.07.00] [INFO] EXEC: menu | Method: Prefix | RAM: 257.26MB
[20.19.33] [INFO] EXEC: cekidch | Method: Prefix | RAM: 256.00MB
[20.28.06] [INFO] EXEC: cekidch | Method: Prefix | RAM: 261.39MB
[20.33.08] [INFO] EXEC: cekidch | Method: Prefix | RAM: 275.84MB
